2021-08-15 12:15:39.537 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:16:39.540 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:17:39.542 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:18:39.544 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:19:39.546 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:20:39.548 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:21:39.550 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:22:39.551 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:23:39.553 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:24:39.556 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:25:39.556 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:26:39.558 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:27:39.561 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:28:39.564 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:29:39.567 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:30:39.568 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:31:39.569 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:32:39.571 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:33:39.573 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:34:39.575 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:35:39.577 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:36:39.580 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:37:39.581 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:38:39.583 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:39:39.585 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:40:39.587 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:41:39.589 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:42:39.591 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:43:39.594 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:44:39.595 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:45:39.596 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 12:46:39.597 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
2021-08-15 16:42:17.493 | DEBUG | main | com.netflix.config.DynamicPropertyUpdater-line:122 | adding property key [app.website], value [www.baidu.com]
2021-08-15 16:42:17.494 | DEBUG | main | com.netflix.config.DynamicPropertyUpdater-line:122 | adding property key [app.age], value [30]
2021-08-15 16:42:17.494 | DEBUG | main | com.netflix.config.DynamicPropertyUpdater-line:122 | adding property key [app.report.name], value [/]
2021-08-15 16:42:17.494 | DEBUG | main | com.netflix.config.DynamicPropertyUpdater-line:122 | adding property key [app.isTall], value [true]
2021-08-15 16:42:17.494 | DEBUG | main | com.netflix.config.DynamicPropertyUpdater-line:122 | adding property key [app.name], value [frank]
2021-08-15 16:42:17.502 | DEBUG | main | com.netflix.config.DynamicPropertyUpdater-line:122 | adding property key [app.website], value [www.baidu.com]
2021-08-15 16:42:17.502 | DEBUG | main | com.netflix.config.DynamicPropertyUpdater-line:122 | adding property key [app.age], value [30]
2021-08-15 16:42:17.503 | DEBUG | main | com.netflix.config.DynamicPropertyUpdater-line:122 | adding property key [app.report.name], value [/]
2021-08-15 16:42:17.503 | DEBUG | main | com.netflix.config.DynamicPropertyUpdater-line:122 | adding property key [app.isTall], value [true]
2021-08-15 16:42:17.503 | DEBUG | main | com.netflix.config.DynamicPropertyUpdater-line:122 | adding property key [app.name], value [frank]
2021-08-15 16:42:47.503 | DEBUG | pollingConfigurationSource | com.netflix.config.AbstractPollingScheduler-line:160 | Polling started
