2021-02-08 12:42:16.634 | DEBUG | http-nio-8090-exec-3 | com.modules.sys.admin.dao.UserDao.findByUserName-line:137 | <==      Total: 1
2021-02-08 12:42:16.636 | DEBUG | http-nio-8090-exec-3 | com.modules.sys.admin.dao.UserRoleDao.findByUserId-line:137 | ==>  Preparing: SELECT * FROM user_role WHERE USER_ID = ?
2021-02-08 12:42:16.638 | DEBUG | http-nio-8090-exec-3 | com.modules.sys.admin.dao.UserRoleDao.findByUserId-line:137 | ==> Parameters: 1(Long)
2021-02-08 12:42:16.640 | DEBUG | http-nio-8090-exec-3 | com.modules.sys.admin.dao.UserRoleDao.findByUserId-line:137 | <==      Total: 1
2021-02-08 12:42:16.641 | DEBUG | http-nio-8090-exec-3 | com.alibaba.druid.pool.PreparedStatementPool-line:129 | {conn-10010, pstmt-20001} enter cache
2021-02-08 12:42:16.642 | DEBUG | http-nio-8090-exec-3 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | ==>  Preparing: SELECT * FROM menu WHERE ID <> 0 ORDER BY ORDER_NUM ASC
2021-02-08 12:42:16.643 | DEBUG | http-nio-8090-exec-3 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | ==> Parameters: 
2021-02-08 12:42:16.653 | DEBUG | http-nio-8090-exec-3 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | <==      Total: 22
2021-02-08 12:42:16.654 | DEBUG | http-nio-8090-exec-3 | com.alibaba.druid.pool.PreparedStatementPool-line:129 | {conn-10010, pstmt-20002} enter cache
2021-02-08 12:42:16.655 | DEBUG | http-nio-8090-exec-3 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | ==>  Preparing: SELECT * FROM menu WHERE ID <> 0 ORDER BY ORDER_NUM ASC
2021-02-08 12:42:16.656 | DEBUG | http-nio-8090-exec-3 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | ==> Parameters: 
2021-02-08 12:42:16.660 | DEBUG | http-nio-8090-exec-3 | com.modules.sys.admin.dao.MenuDao.findAll-line:137 | <==      Total: 22
2021-02-08 12:57:41.599 | DEBUG | SpringContextShutdownHook | com.alibaba.druid.pool.PreparedStatementPool-line:160 | {conn-10010, pstmt-20000} exit cache
2021-02-08 12:57:41.599 | DEBUG | SpringContextShutdownHook | com.alibaba.druid.pool.PreparedStatementPool-line:160 | {conn-10010, pstmt-20001} exit cache
2021-02-08 12:57:41.599 | DEBUG | SpringContextShutdownHook | com.alibaba.druid.pool.PreparedStatementPool-line:160 | {conn-10010, pstmt-20002} exit cache
